id,blood_type,latitude,longitude,last_donation,phone
65,A-,19.363524189831107,84.8180528621644,2021-10-27,+914843418697
66,O-,20.164501035950817,85.6659127371488,2022-08-27,+919451573763
67,A+,19.341866957318935,84.80003535809308,2022-11-15,+919740736516
68,A+,22.106854935091157,83.98782505002704,2021-01-01,+917992980952
69,O-,20.50385335860789,85.91796524484805,2023-01-04,+915085612269
70,AB+,22.234884151771215,84.83926633982962,2023-10-15,+919559788330
71,B+,19.272006808984326,84.83976012749807,2024-09-08,+910902647960
72,A-,20.32038169092414,85.79628371390137,2023-10-22,+911200749954
73,O-,21.543551816076853,86.89646731225538,2022-11-07,+914634391005
74,A-,20.18059383871719,85.63490538980886,2024-06-06,+917299745562
75,B+,19.803431391998565,85.87030383270657,2023-12-03,+911480950431
76,B+,21.348997854392614,83.58378934227642,2020-06-26,+913808563081
77,AB-,22.136945675376452,84.06897264007023,2022-07-01,+914720037347
78,A-,20.187222116300504,85.58276250261909,2020-07-08,+915706575106
79,A-,20.666528258384126,83.4914788701832,2023-08-24,+913271515918
80,B+,20.21347528971691,86.14745883804399,2023-12-09,+914120626276
81,AB+,22.08026311881662,84.05071464292223,2024-03-25,+913454814052
82,AB-,20.189582233985877,85.66499829251346,2022-08-29,+916662964938
83,B+,20.62333588489141,85.54826200698493,2023-08-17,+914560453863
84,O-,20.459061538240757,86.40501769002506,2020-02-15,+915834421518
85,B+,20.20706269251187,85.6585206032491,2023-10-15,+917991632603
86,O+,20.639569724735182,85.55980472284789,2021-08-20,+915933723928
87,B+,22.2632710022644,84.8554253587555,2023-03-11,+915013300319
88,A+,21.82686874990911,83.99763031737322,2021-11-23,+919245891837
89,AB+,20.50252327376577,85.92082805564156,2023-12-20,+919477149622
90,AB+,20.131613154474103,85.14329678589066,2020-08-27,+914579493793
91,AB-,21.469725652021655,86.9694319250989,2022-01-27,+910025710950
92,A+,19.19090297002303,83.44479031797562,2022-11-28,+915545483618
93,AB+,19.13374070309543,83.41227816351353,2024-05-02,+912869830658
94,B+,19.138301371182962,83.41598625944363,2024-07-28,+913288039033
95,AB+,21.484488495214773,86.96564860337244,2024-06-08,+915492935786
96,B+,19.216789839051845,83.40037537453192,2021-03-18,+913989130365
97,O-,21.874817171469267,84.02373123154463,2023-12-21,+914386425262
98,O-,20.50858683486764,85.86447069505395,2023-01-03,+916063432037
99,AB+,21.315720635672683,83.59546289584284,2021-04-16,+913544619469
100,O-,19.354571561278075,84.78993424637949,2024-05-31,+910194557294
